IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.91.121,80,false,HKG,Asia Pacific,Hong Kong,383 ms,1928 kB/s
8.222.183.242,80,false,SIN,Asia Pacific,Singapore,381 ms,1528 kB/s
47.242.155.183,80,false,HKG,Asia Pacific,Hong Kong,383 ms,1488 kB/s
8.212.116.106,80,false,HKG,Asia Pacific,Hong Kong,381 ms,1462 kB/s
8.218.155.238,80,false,HKG,Asia Pacific,Hong Kong,382 ms,1459 kB/s
8.218.48.92,80,false,HKG,Asia Pacific,Hong Kong,382 ms,1434 kB/s
8.222.156.242,80,false,SIN,Asia Pacific,Singapore,382 ms,1329 kB/s
47.243.91.58,80,false,HKG,Asia Pacific,Hong Kong,381 ms,1278 kB/s
8.222.162.45,80,false,SIN,Asia Pacific,Singapore,382 ms,1239 kB/s
8.218.222.36,80,false,HKG,Asia Pacific,Hong Kong,381 ms,1224 kB/s
8.217.250.222,80,false,HKG,Asia Pacific,Hong Kong,382 ms,990 kB/s
8.219.117.198,80,false,SIN,Asia Pacific,Singapore,382 ms,610 kB/s
47.242.17.250,80,false,HKG,Asia Pacific,Hong Kong,382 ms,584 kB/s
8.222.179.231,80,false,SIN,Asia Pacific,Singapore,382 ms,553 kB/s
8.218.18.132,80,false,HKG,Asia Pacific,Hong Kong,383 ms,441 kB/s
47.57.14.118,80,false,SJC,North America,San Jose,382 ms,216 kB/s
8.212.12.98,80,false,HKG,Asia Pacific,Hong Kong,382 ms,65 kB/s
8.219.208.104,80,false,SIN,Asia Pacific,Singapore,381 ms,38 kB/s
8.219.110.248,80,false,SIN,Asia Pacific,Singapore,382 ms,37 kB/s
